Date,Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
4/7/2020,12:28:52.559930,-0.66, 0.30, 9.85,4.33, -1.06, 2.58
4/7/2020,12:28:57.634547,-0.67, 0.30, 9.87,4.36, -1.29, 2.52
4/7/2020,12:29:02.715017,-0.65, 0.32, 9.86,4.42, -1.45, 2.43
4/7/2020,12:29:07.787000,-0.66, 0.32, 9.85,4.32, -1.41, 2.54
4/7/2020,12:29:12.866957,-0.66, 0.32, 9.88,4.39, -1.29, 2.56
4/7/2020,12:29:17.940924,-0.67, 0.32, 9.86,4.43, -1.39, 2.46
4/7/2020,12:29:23.018659,-0.65, 0.31, 9.86,4.39, -1.28, 2.50
4/7/2020,12:29:28.093119,-0.67, 0.32, 9.86,4.38, -1.30, 2.57
4/7/2020,12:29:33.173968,-0.65, 0.31, 9.85,4.25, -1.25, 2.50
4/7/2020,12:29:38.247293,-0.65, 0.32, 9.87,4.50, -1.30, 2.57
4/7/2020,12:29:43.327297,-0.65, 0.32, 9.84,4.45, -1.41, 2.48
4/7/2020,12:29:48.397258,-0.66, 0.31, 9.85,4.33, -1.50, 2.48
4/7/2020,12:29:53.473293,-0.67, 0.32, 9.86,4.40, -1.36, 2.52
4/7/2020,12:29:58.549897,-0.64, 0.33, 9.84,4.43, -1.41, 2.48
4/7/2020,12:30:03.631331,-0.66, 0.32, 9.85,4.41, -1.28, 2.48
4/7/2020,12:30:08.703243,-0.65, 0.31, 9.85,4.43, -1.14, 2.56
4/7/2020,12:30:13.782230,-0.66, 0.32, 9.85,4.30, -1.32, 2.49
4/7/2020,12:30:18.854931,-0.66, 0.31, 9.85,4.38, -1.31, 2.48
4/7/2020,12:30:23.934380,-0.66, 0.32, 9.86,4.35, -1.24, 2.51
4/7/2020,12:30:29.007432,-0.67, 0.31, 9.85,4.26, -1.24, 2.53
4/7/2020,12:30:34.087616,-0.65, 0.31, 9.87,4.39, -1.23, 2.52
4/7/2020,12:30:39.162058,-0.66, 0.32, 9.87,4.29, -1.29, 2.54
4/7/2020,12:30:44.240685,-0.67, 0.31, 9.86,4.38, -1.32, 2.48
4/7/2020,12:30:49.313131,-0.65, 0.32, 9.85,4.34, -1.34, 2.47
4/7/2020,12:30:54.394447,-0.66, 0.31, 9.85,4.57, -1.44, 2.48
4/7/2020,12:30:59.464160,-0.68, 0.31, 9.87,4.37, -1.38, 2.50
4/7/2020,12:31:04.548318,-0.66, 0.31, 9.85,4.33, -1.36, 2.58
4/7/2020,12:31:09.622667,-0.66, 0.31, 9.85,4.36, -1.38, 2.48
4/7/2020,12:31:14.701964,-0.65, 0.32, 9.85,4.37, -1.40, 2.56
4/7/2020,12:31:19.775114,-0.67, 0.32, 9.86,4.36, -1.34, 2.48
4/7/2020,12:31:24.854879,-0.66, 0.32, 9.86,4.39, -1.40, 2.55
4/7/2020,12:31:29.928329,-0.67, 0.31, 9.86,4.37, -1.25, 2.53
4/7/2020,12:31:35.003669,-0.67, 0.31, 9.87,4.36, -1.23, 2.57
4/7/2020,12:31:40.080070,-0.66, 0.32, 9.86,4.28, -1.35, 2.55
4/7/2020,12:31:45.160686,-0.66, 0.32, 9.86,4.38, -1.32, 2.42
4/7/2020,12:31:50.231925,-0.67, 0.32, 9.87,4.46, -1.20, 2.50
4/7/2020,12:31:55.310892,-0.66, 0.31, 9.85,4.35, -1.29, 2.44
4/7/2020,12:32:00.382033,-0.66, 0.32, 9.88,4.39, -1.37, 2.47
4/7/2020,12:32:05.453015,-0.65, 0.31, 9.85,4.37, -1.35, 2.48
4/7/2020,12:32:10.529917,-0.65, 0.32, 9.85,4.36, -1.17, 2.47
